trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPKOC2512273044a17b,2025-12-27,KL01,new,33,394,10,8
TRPSUR251227f67f6fd6,2025-12-27,GJ01,repeated,15,139,5,8
TRPKOC25122757e60b7f,2025-12-27,KL01,repeated,19,240,8,8
TRPSUR2512277902112c,2025-12-27,GJ01,repeated,17,155,5,5
TRPSUR2512277081b905,2025-12-27,GJ01,repeated,5,59,7,8
TRPKOC2512273c070784,2025-12-27,KL01,repeated,37,438,7,9
TRPKOC251227a463c15a,2025-12-27,KL01,new,34,405,9,10
TRPVIS25122730fb8303,2025-12-27,AP01,repeated,35,342,9,10
TRPCHA251227f061f6ac,2025-12-27,CH01,repeated,13,143,9,7
TRPJAI2512271baf9f83,2025-12-27,RJ01,repeated,42,541,9,8
TRPSUR25122786771a2f,2025-12-27,GJ01,repeated,12,115,7,7
TRPLUC251227924161e0,2025-12-27,UP01,repeated,7,89,6,7
TRPVAD25122791fb5826,2025-12-27,GJ02,new,16,146,9,8
TRPIND2512278356b7ac,2025-12-27,MP01,new,14,135,8,8
TRPSUR25122738fb3a62,2025-12-27,GJ01,repeated,8,83,7,6
TRPCOI25122713f487ab,2025-12-27,TN01,repeated,10,103,6,6
TRPLUC251227bcf1a017,2025-12-27,UP01,repeated,11,125,6,6
TRPSUR251227d21a871e,2025-12-27,GJ01,new,12,115,8,8
TRPSUR251227b7dca117,2025-12-27,GJ01,repeated,10,99,6,5
TRPLUC2512278858b58b,2025-12-27,UP01,repeated,17,179,5,6
TRPJAI251227c8c67c6d,2025-12-27,RJ01,new,36,469,9,9
TRPIND251227ef5cc208,2025-12-27,MP01,new,14,135,7,8
TRPJAI251227b06142be,2025-12-27,RJ01,new,20,277,10,10
TRPMYS25122790edea96,2025-12-27,KA01,repeated,11,145,9,9
TRPJAI251227b69515c7,2025-12-27,RJ01,repeated,34,445,9,8
TRPVAD25122780caf00e,2025-12-27,GJ02,new,11,106,8,8
TRPJAI251227e9c4114e,2025-12-27,RJ01,repeated,25,337,7,10
TRPKOC251227f4ae5597,2025-12-27,KL01,new,23,284,9,9
TRPSUR251227b1b85ef2,2025-12-27,GJ01,repeated,17,155,7,5
TRPMYS251227fbe11481,2025-12-27,KA01,new,10,135,8,8
TRPLUC251227feb65d23,2025-12-27,UP01,repeated,14,152,5,8
TRPSUR251227070977f3,2025-12-27,GJ01,new,13,123,8,7
TRPVIS2512273f31505f,2025-12-27,AP01,repeated,29,288,8,10
TRPJAI25122733bfe432,2025-12-27,RJ01,new,44,565,9,9
TRPLUC2512279ea53a3e,2025-12-27,UP01,repeated,17,179,7,7
TRPCHA2512277771db04,2025-12-27,CH01,new,22,224,8,8
TRPCHA2512270efe110a,2025-12-27,CH01,repeated,21,215,6,6
TRPVAD2512273ee36e4e,2025-12-27,GJ02,repeated,7,74,7,7
TRPJAI2512277ad6ae4c,2025-12-27,RJ01,new,24,325,10,10
TRPLUC2512272fccb7e0,2025-12-27,UP01,repeated,10,116,7,8
TRPIND2512277aa27675,2025-12-27,MP01,repeated,11,111,8,6
TRPVIS25122709bbaa61,2025-12-27,AP01,repeated,24,243,9,9
TRPIND251227d090e98a,2025-12-27,MP01,repeated,17,159,6,8
TRPLUC25122766b4abac,2025-12-27,UP01,new,20,206,9,7
TRPCOI251227ab6eb844,2025-12-27,TN01,new,15,143,10,9
TRPMYS25122780300d4e,2025-12-27,KA01,new,24,275,9,8
TRPSUR25122771a057b1,2025-12-27,GJ01,repeated,11,107,7,8
TRPMYS251227b37d9486,2025-12-27,KA01,new,25,285,8,9
TRPIND251227ced0440c,2025-12-27,MP01,repeated,15,143,8,6
TRPJAI2512274880e953,2025-12-27,RJ01,new,18,253,9,8
TRPLUC2512278f9c9daa,2025-12-27,UP01,repeated,19,197,6,5
TRPSUR251227c6ebcf22,2025-12-27,GJ01,repeated,17,155,6,8
TRPJAI251227ff8e9ec6,2025-12-27,RJ01,repeated,42,541,7,9
TRPSUR251227d0bfe6e8,2025-12-27,GJ01,repeated,12,115,7,5
TRPCOI2512270bb809d4,2025-12-27,TN01,repeated,14,135,8,7
TRPCHA25122761cc45be,2025-12-27,CH01,repeated,35,341,9,8
TRPVAD2512279c638eff,2025-12-27,GJ02,repeated,13,122,5,8
TRPMYS2512275c336194,2025-12-27,KA01,repeated,12,155,9,8
TRPLUC25122793f52aff,2025-12-27,UP01,repeated,11,125,7,7
TRPJAI251227a8c2555e,2025-12-27,RJ01,new,30,397,8,8
TRPSUR2512279cf253d3,2025-12-27,GJ01,repeated,8,83,6,5
TRPJAI25122763a2a64e,2025-12-27,RJ01,repeated,18,253,7,10
TRPVAD2512278d5064c3,2025-12-27,GJ02,repeated,14,130,6,5
TRPSUR251227c238ea8d,2025-12-27,GJ01,new,11,107,7,6
TRPCOI251227c30eda68,2025-12-27,TN01,repeated,13,127,9,9
TRPCOI25122702970c9f,2025-12-27,TN01,repeated,20,183,9,8
TRPCHA251227fb021a6c,2025-12-27,CH01,repeated,27,269,7,9
TRPSUR25122769ad9fa0,2025-12-27,GJ01,repeated,16,147,7,5
TRPSUR251227a8ad8c98,2025-12-27,GJ01,repeated,15,139,5,5
TRPSUR251227273bb01c,2025-12-27,GJ01,repeated,11,107,6,6
TRPCHA251227643fc478,2025-12-27,CH01,new,28,278,7,7
TRPIND251227bcb3a1c7,2025-12-27,MP01,repeated,9,95,6,9
TRPLUC251227937bbc41,2025-12-27,UP01,repeated,10,116,7,6
