trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPLUC250914974cefd1,2025-09-14,UP01,repeated,18,188,6,5
TRPLUC250914d6694a97,2025-09-14,UP01,new,5,71,7,6
TRPVAD250914c2c900b4,2025-09-14,GJ02,repeated,15,138,6,8
TRPJAI2509144861b178,2025-09-14,RJ01,repeated,21,289,9,9
TRPCHA25091438cc2dd4,2025-09-14,CH01,repeated,19,197,7,9
TRPVAD250914c1f8e9e7,2025-09-14,GJ02,repeated,15,138,7,6
TRPSUR2509142f4e2e00,2025-09-14,GJ01,repeated,6,67,5,7
TRPLUC250914059747fa,2025-09-14,UP01,repeated,9,107,5,7
TRPCHA25091439d008af,2025-09-14,CH01,new,23,233,7,7
TRPJAI250914a34cf216,2025-09-14,RJ01,new,31,409,9,8
TRPCHA250914bb6ec954,2025-09-14,CH01,new,14,152,7,9
TRPLUC250914529cca4f,2025-09-14,UP01,repeated,6,80,6,7
TRPCHA25091409748fb7,2025-09-14,CH01,new,25,251,7,8
TRPMYS25091401dfd20e,2025-09-14,KA01,repeated,10,135,8,9
TRPKOC2509146f383e9a,2025-09-14,KL01,new,11,152,8,8
TRPVAD25091489191d07,2025-09-14,GJ02,repeated,18,162,5,6
TRPCHA250914b2a3ad9c,2025-09-14,CH01,new,14,152,9,7
TRPJAI250914c69f5c29,2025-09-14,RJ01,repeated,38,493,7,8
TRPLUC250914457f7afb,2025-09-14,UP01,repeated,9,107,5,6
TRPLUC2509145496be0c,2025-09-14,UP01,new,6,80,8,8
TRPLUC250914f2998d9e,2025-09-14,UP01,repeated,9,107,5,7
TRPJAI25091401ac0303,2025-09-14,RJ01,new,19,265,10,8
TRPCHA250914262ad86d,2025-09-14,CH01,new,18,188,8,7
TRPVAD25091482264430,2025-09-14,GJ02,repeated,11,106,5,5
TRPJAI250914cf796436,2025-09-14,RJ01,new,45,577,8,9
TRPJAI250914d5fb2b2c,2025-09-14,RJ01,new,41,529,8,10
TRPJAI25091431783ad5,2025-09-14,RJ01,new,35,457,8,10
TRPJAI250914fa130568,2025-09-14,RJ01,new,33,433,10,10
TRPIND25091465a02774,2025-09-14,MP01,repeated,22,199,7,9
TRPVIS25091467fb7241,2025-09-14,AP01,new,14,153,10,9
TRPSUR25091464fbca21,2025-09-14,GJ01,repeated,8,83,5,7
TRPIND250914ee4d4b17,2025-09-14,MP01,repeated,19,175,6,9
TRPLUC2509140057b03d,2025-09-14,UP01,repeated,11,125,5,6
TRPIND250914f83c496d,2025-09-14,MP01,repeated,21,191,6,8
TRPKOC25091409271086,2025-09-14,KL01,repeated,13,174,7,8
TRPVAD250914bc08e762,2025-09-14,GJ02,repeated,12,114,7,8
TRPJAI2509143c78df7d,2025-09-14,RJ01,repeated,31,409,7,8
TRPSUR250914c6d26382,2025-09-14,GJ01,new,13,123,7,8
TRPVIS25091406397d96,2025-09-14,AP01,new,14,153,9,8
TRPKOC250914f164bd1c,2025-09-14,KL01,new,22,273,9,8
TRPIND250914137c9ea9,2025-09-14,MP01,repeated,10,103,6,7
TRPLUC250914c1d21bd6,2025-09-14,UP01,repeated,7,89,6,7
TRPJAI25091471ba03b9,2025-09-14,RJ01,new,24,325,10,10
TRPJAI250914e819158e,2025-09-14,RJ01,new,20,277,8,10
TRPCOI25091481f25aab,2025-09-14,TN01,repeated,11,111,6,7
TRPLUC25091445766eb8,2025-09-14,UP01,repeated,16,170,6,5
TRPVIS250914a4497ded,2025-09-14,AP01,repeated,13,144,9,9
TRPLUC250914bf709850,2025-09-14,UP01,repeated,11,125,7,5
TRPJAI2509146226774c,2025-09-14,RJ01,repeated,36,469,8,8
TRPLUC250914dede0853,2025-09-14,UP01,new,14,152,9,8
TRPCOI2509145c49ee77,2025-09-14,TN01,repeated,14,135,6,7
TRPVIS2509140d5d673b,2025-09-14,AP01,new,22,225,10,8
TRPVAD250914c656c99b,2025-09-14,GJ02,repeated,18,162,7,5
TRPVAD2509148c5aabf4,2025-09-14,GJ02,repeated,12,114,6,8
TRPSUR2509147d601102,2025-09-14,GJ01,repeated,6,67,7,7
TRPLUC2509140c75d984,2025-09-14,UP01,new,8,98,9,7
TRPJAI25091467a422df,2025-09-14,RJ01,new,29,385,8,9
TRPLUC2509142e9ca2a6,2025-09-14,UP01,new,10,116,7,7
TRPSUR25091449c58ba0,2025-09-14,GJ01,new,6,67,9,8
TRPLUC2509140e4bf044,2025-09-14,UP01,new,6,80,7,6
TRPKOC250914626a6996,2025-09-14,KL01,new,34,405,8,8
TRPCHA250914b3116cd1,2025-09-14,CH01,repeated,26,260,7,7
TRPJAI2509148922561f,2025-09-14,RJ01,new,28,373,9,10
TRPKOC250914a6935725,2025-09-14,KL01,new,28,339,10,8
TRPLUC250914008ed57e,2025-09-14,UP01,repeated,12,134,5,7
TRPSUR2509149b381a1c,2025-09-14,GJ01,new,10,99,8,6
TRPIND250914b9232c6b,2025-09-14,MP01,new,14,135,10,8
TRPIND25091496b67cdf,2025-09-14,MP01,repeated,13,127,7,8
TRPVIS25091490150a0c,2025-09-14,AP01,new,13,144,10,9
TRPVAD250914e2ea09de,2025-09-14,GJ02,new,14,130,9,6
TRPMYS250914b876e1f6,2025-09-14,KA01,repeated,22,255,7,10
TRPKOC25091473a93f45,2025-09-14,KL01,repeated,29,350,7,8
TRPVAD25091498fe798b,2025-09-14,GJ02,repeated,14,130,6,6
TRPLUC250914584f39d8,2025-09-14,UP01,repeated,11,125,6,7
TRPLUC250914d348b9b2,2025-09-14,UP01,repeated,20,206,5,8
TRPMYS250914ccac5a3f,2025-09-14,KA01,repeated,15,185,9,9
TRPSUR2509142a217a60,2025-09-14,GJ01,repeated,14,131,6,7
TRPSUR250914fe6935ff,2025-09-14,GJ01,repeated,12,115,7,6
TRPKOC25091424cdef40,2025-09-14,KL01,repeated,14,185,7,10
TRPJAI2509143e10729c,2025-09-14,RJ01,new,23,313,10,8
TRPCHA25091476557e02,2025-09-14,CH01,new,33,323,7,7
TRPMYS2509143fa92dd3,2025-09-14,KA01,new,15,185,8,9
TRPVAD250914621f9e42,2025-09-14,GJ02,new,5,58,7,7
TRPLUC250914425f3397,2025-09-14,UP01,repeated,20,206,5,8
TRPKOC250914982725ae,2025-09-14,KL01,new,37,438,8,8
TRPJAI25091471fa9e88,2025-09-14,RJ01,new,36,469,8,9
TRPKOC250914bc71168c,2025-09-14,KL01,new,33,394,9,10
TRPCOI2509147e8c5255,2025-09-14,TN01,new,13,127,8,8
TRPVIS250914ad724368,2025-09-14,AP01,repeated,13,144,7,8
TRPJAI250914b9f0eb89,2025-09-14,RJ01,new,33,433,10,8
